owner,duration,startDate,amount
0x1230B3d59858296A31053C1b8562Ecf89A2f888b,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x280f7eA3836A2Ac2fb70e31fC6915D081D8e1B1D,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x08f6466dD7891ac9A60C769c7521b0CF2F60c153,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0xf040Cc3b2BB651459a161d759a21248D30B050c4,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x9807Ca00d6455C4b51AD0120052A9d464F70A140,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x0e2CEfe481391278612Fa7265b4B6C736b88919F,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x121Cf7457171bD7a93232807CBa65f7Bd7a48a2d,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0xda2242a6DbDa924bf7D7DB8aC9482d4763EB211C,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0xf2565317F3Ae8Ae9EA98E9Fe1e7FADC77F823cbD,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x938bae50a210b80EA233112800Cd5Bc2e7644300,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0xf01028c5146743b903a26Fbb739Ac419a6A02048,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x43852dB7B5ACE1e57d853789D331caeD88Af3cFF,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x244bc561E8E65f2d7508F30e477cb625CfDCfAD1,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x37b828802FAeA4244d176Da386CF632F5Bbc414F,2,2022-07-12T17:00:00+00:00,23023120000000000000000
0xA8FFD6B87388F8d5FACfDa0147d9B0Da511539b6,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x91dB860c37E83dab0A4A005E209577E64c61EEfA,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x49d4450977E2c95362C13D3a31a09311E0Ea26A6,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0xc1e55e565a40BB76686C94E0688be8F00cbE9d60,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0xa704Eed6dCbB3aD77D40254E47fe3e8356B1B7d1,416,2018-07-14T10:00:00+00:00,144010000000000000000
0x38CE506e08E00193FcD160098E7af15210377887,416,2018-07-14T10:00:00+00:00,999990000000000000000
0x3C85D27244196d09f2dFBA2e981cA38513036D03,416,2018-07-14T10:00:00+00:00,120743780000000000000000
0x2b6bd3167E2f76bA05b114BDc01DC70F5810835A,416,2018-07-14T10:00:00+00:00,24148760000000000000000
0x39F2b581D967ACE4435ccE41c52eC70d6904DD09,416,2018-07-14T10:00:00+00:00,6037190000000000000000
0x4304e413248525676ae5d43d7172833e6F35B6A9,416,2018-07-14T10:00:00+00:00,28322010000000000000000
0xe0F60fe0983709358f758cA6698296FC48AEe08b,416,2018-07-14T10:00:00+00:00,546860000000000000000
0xDba3fBE2fA9d8987E316Ec15079A550Ea472B12b,416,2018-07-14T10:00:00+00:00,498520000000000000000
0xFb72574b9d64947Cfd5A44cfe4A0CEa5806d103A,416,2018-07-14T10:00:00+00:00,23454990000000000000000
0xA108D272119FE497D72B3bff5f7Fb1d235Ddbf2e,416,2018-07-14T10:00:00+00:00,120330000000000000000000
0x4f99325f843524dbedc853dE85D6F184F60C250A,416,2018-07-14T10:00:00+00:00,23023120000000000000000
0x680b5666D2c63d01f5bD61FE5D42476653D7bD7c,416,2018-07-14T10:00:00+00:00,23023120000000000000000
