owner,duration,startDate,amount
0x08f6466dD7891ac9A60C769c7521b0CF2F60c153,416,2018-07-14T10:00:00+00:00,2000420000000000000000
0x1230B3d59858296A31053C1b8562Ecf89A2f888b,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x280f7eA3836A2Ac2fb70e31fC6915D081D8e1B1D,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x71b328e43C63404E33911E926925A692Db8b93d6,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x168d8f47f1241f59cA85704138bb31c80efCfB01,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0xd8BBcB76BC9AeA78972ED4773A5EB67B413f26A5,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0xc1e55e565a40BB76686C94E0688be8F00cbE9d60,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x4f99325f843524dbedc853dE85D6F184F60C250A,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x979774d85274A5F63C85786aC4Fa54B9A4f391c2,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x360e66ACB11729D0cdd98f2F7014cBc388Ce8091,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x9807Ca00d6455C4b51AD0120052A9d464F70A140,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0xEe6f78FeD18A20Af43d394f0F7dDc1aCf5d96d01,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x121Cf7457171bD7a93232807CBa65f7Bd7a48a2d,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x1C8b9B78e3085866521FE206fa4c1a67F49f153A,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0xf2565317F3Ae8Ae9EA98E9Fe1e7FADC77F823cbD,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x938bae50a210b80EA233112800Cd5Bc2e7644300,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0xf01028c5146743b903a26Fbb739Ac419a6A02048,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x43852dB7B5ACE1e57d853789D331caeD88Af3cFF,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x6987E510A59dfBA7ecd828C0552b0e28A4D011Ee,416,2018-07-14T10:00:00+00:00,5000110000000000000000
0x37b828802FAeA4244d176Da386CF632F5Bbc414F,2,2022-07-12T17:00:00+00:00,28322010000000000000000
0x3D5547c81984bd1246f1419aa063aCB94D009225,1,2022-06-14T10:00:00+00:00,546860000000000000000
0xa704Eed6dCbB3aD77D40254E47fe3e8356B1B7d1,416,2018-07-14T10:00:00+00:00,1448925480000000000000000
0x38CE506e08E00193FcD160098E7af15210377887,416,2018-07-14T10:00:00+00:00,482975130000000000000000
0x3C85D27244196d09f2dFBA2e981cA38513036D03,416,2018-07-14T10:00:00+00:00,120743780000000000000000
0x2b6bd3167E2f76bA05b114BDc01DC70F5810835A,416,2018-07-14T10:00:00+00:00,24148760000000000000000
0x39F2b581D967ACE4435ccE41c52eC70d6904DD09,416,2018-07-14T10:00:00+00:00,6037190000000000000000
0x4304e413248525676ae5d43d7172833e6F35B6A9,416,2018-07-14T10:00:00+00:00,28322010000000000000000
0xe0F60fe0983709358f758cA6698296FC48AEe08b,416,2018-07-14T10:00:00+00:00,546860000000000000000
0xDba3fBE2fA9d8987E316Ec15079A550Ea472B12b,416,2018-07-14T10:00:00+00:00,498520000000000000000
0xFb72574b9d64947Cfd5A44cfe4A0CEa5806d103A,416,2018-07-14T10:00:00+00:00,23454990000000000000000
0xA108D272119FE497D72B3bff5f7Fb1d235Ddbf2e,416,2018-07-14T10:00:00+00:00,120330000000000000000000
0x75bA354c11F8bDE78B362f95D15e60C8A393E998,416,2018-07-14T10:00:00+00:00,2000660000000000000000
0x757Bf5b42cfe10ae5D2A47cD9c1eE90fd2fc322d,416,2018-07-14T10:00:00+00:00,2000660000000000000000
0x91dB860c37E83dab0A4A005E209577E64c61EEfA,416,2018-07-14T10:00:00+00:00,2000660000000000000000
0x70F2c8773c5EBbCD3a9a05B67491EF41688a4d8f,416,2018-07-14T10:00:00+00:00,2000660000000000000000
0x55EaDd6984B73B1B78EaC57be81548e5d959D8a3,416,2018-07-14T10:00:00+00:00,2000660000000000000000
0x49d4450977E2c95362C13D3a31a09311E0Ea26A6,416,2018-07-14T10:00:00+00:00,2000660000000000000000
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x58a0dc767ef35ad853b258e783d610bfc7205039,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x67a34a84c235c15840745955db839520fea09939,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xa976ea51b9ba3232706af125a92e32788dc08ddc,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x8dc250d5403ba72cbeaf0ac40f7c61c6db3a9a20,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x78605df79524164911c144801f41e9811b7db73d,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xbc79855178842fdba0c353494895deef509e26bb,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x0632dcc37b1fabf2cad20538a5390d23c830962e,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xdca6ab9508d28c0eb7b120b8252041edcb56753f,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xaab0e04ca86e791b6a214028f09d0a87b36cb564,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x99f4176ee457afedffcb1839c7ab7a030a5e4a92,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xafc2f2d803479a2af3a72022d54cc0901a0ec0d6,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x2b9d5c7f2ead1a221d771fb6bb5e35df04d60ab0,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xfeb4acf3df3cdea7399794d0869ef76a6efaff52,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xfad1611565ac495c927000623f0d04c84e1091e6,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xc22fae86443aeed038a4ed887bba8f5035fd12f0,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x8ca24021e3ee3b5c241bbfcee0712554d7dc38a1,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x64bca4dcafb3f889f2df9f97e7a6a6b297acb8e1,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x6f3f68525e5edad6f06f8b0eae0dd7b9f695af13,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xfdd86a96f47015d9c457c841e1d52d06ede16a92,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xdc78b116db50e7639fa0daf8a8bc65a5e2bdea7b,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xf326e4de8f66a0bdc0970b79e0924e33c79f1915,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xd3621b7ea5062dbcf6daa333c24c651894c5d2ea,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x9f2912a7e4449e5b6d1164413ec1966a23f1d2f9,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x9d94ef33e7f8087117f85b3ff7b1d8f27e4053d5,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x84443f61efc60d10da9f9a2398980cd5748394bb,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x9a67f1940164d0318612b497e8e6038f902a00a4,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x74db79268e63302d3fc69fb5a7627f7454a41732,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xb1748c79709f4ba2dd82834b8c82d4a505003f27,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x46e9b06d8e683e28a9b1ca7ced0afe3a4f7f0b29,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xf661107395729afc8a027b976337b859a0847d8e,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xf5c27c6fe782cbb5c85989ea3e75754748153459,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xfe80804d2e3ab78a13ce90f45b2803cf9bbd1f51,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xb88f61e6fbda83fbfffabe364112137480398018,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x19b3eb3af5d93b77a5619b047de0eed7115a19e7,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x301407427168fb51bcc927b9fb76dcd88fe45681,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xeb3107117fead7de89cd14d463d340a2e6917769,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xe7178db9e123f053aabfd2c28520bf6b63cb4a47,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x6d5a7597896a703fe8c85775b23395a48f971305,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xe8bfdf8f47b35418c73af2a2bc4d0d12488e93c5,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x1b4c87add7a98d28910a0e1ab616d71aa4b4ce8b,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x5add8a02141bf53a7c5bc6ad5483ca17552e9c52,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x2d81713c58452c92c19b2917e1c770eecf53fe41,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xbba4c8eb57df16c4cfabe4e9a3ab697a3e0c65d8,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x75a03ec24bf95f68a749d833a2efde50db7a6192,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x6e011e100c10ebaad634214523bcf3bf61dd22bd,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xcf2d2da4c2f9b0675a197febc6708704834f9c24,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x049355e4380f8db88cb8a6ec0426b1a1a3560c67,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x4a49985b14bd0ce42c25efde5d8c379a48ab02f3,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x020b2f1fe869302375a3762c6d510139328c1889,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x8d15f64920dda38883b0bb44129c1f660392e167,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x25854e2a49a6cdaec7f0505b4179834509038549,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x6781a24ccc819941b7a4c9cc7b0dc32666e587e4,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xb671e841a8e6db528358ed385983892552ef422f,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xb96e81f80b3aeef65cb6d0e280b15fd5dbe71937,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xcf60916b6cb4753f58533808fa610fcbd4098ec0,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x21f73d42eb58ba49ddb685dc29d3bf5c0f0373ca,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xf8ccea5e50246f5a1e6f3de8c4a6a71ee2f7e2bc,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x70fce97d671e81080ca3ab4cc7a59aac2e117137,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xf03b503cc9ee8aaa3b17856942a440be0c77cd84,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xbc9a9ac7dc36b1706732374bf632ef39fb6efbc3,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x4a75f0ae51a5d616ada4db52be140d89302aaf78,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x583788f490a278db2a8d6d7226264b4985f75678,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x8bf698344d912b99ed0f5371b15c9876a875922c,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xf20b338752976878754518183873602902360704,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xde21f729137c5af1b01d73af1dc21effa2b8a0d6,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xab0b0e235eb4637de1783d117532398f9b0b1740,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x98f0eccac8be6ca81565007e5f879a217fb1e316,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x1cf0df2a5a20cd61d68d4489eebbf85b8d39e18a,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xcc8793d5eb95faa707ea4155e09b2d3f44f33d1e,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xd08c3a59725e81485fd70c44f6cb0bf03ee9a1ac,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x728ee922e3393fce0fb0fbfcd3185cf9fec51de2,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xaf1c81db4d7c15fa1ae2e162470034a152971b93,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xa6e7abdd2cf0d00500a04fc9633be1e896af216d,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xdb5dfe548e79441e709edd46f21d80cbd245b1be,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xb7b2fec9b30f4a56d86129921aa9804a7efe080a,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x67df21b9a8e79352649e0a304767ec02571c8197,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x2ad302574e58e263861c973618ba736d6b8fbc92,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xd7c810f6316f6b83ae3eeda44583e4a8a0ae95c4,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x6decd32f5a2ab9b43bc6ad8923eb6d2395de145b,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x3fd8462e467708e5d1dd4ad6becf4058d4ccbd8d,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x0cd8fd90bacc7a676fcc7c0d7573b970f8784b50,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x97e270c954f61f212fb29c0aac13ae6b39fd730c,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xe30ed74c6633a1b0d34a71c50889f9f0fdb7d68a,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xda12b368a93007ef2446717765917933cebc6080,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x8b4334d4812c530574bd4f2763fcd22de94a969b,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xf0f266f7a481a15607b11d171760d96dcc16e4ed,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x94b27b52e0a188c3d5c4be7e39d04094cbf1a5bf,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x1de8f9874a5b60c94304888f8b42db21f06813e6,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x9e77162d6e50e6d8bdb5e0de7da8653e21f63350,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x12267aefd8bb461817df348ce16c933e76c1aa0d,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xb65cef03b9b89f99517643226d76e286ee999e77,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x42e61987a5cba002880b3cc5c800952a5804a1c5,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xae5fb390e5c4fa1962e39e98dbfb0ed8055ed7a9,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x6d2dc1bf2a961c68fe8e9aae10b975749cb0a556,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x95143890162bd671d77ae9b771881a1cb76c29a4,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xd9107d1d077c2516e83cb41f41883570d904f050,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xb6585626d325111012450afd1f28824916f46c38,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x9ddbdcd3c5123e673e4b96992101f8ceafcd95a0,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xd010eb53a6522dd4da66a3a156334539ec1cb2a7,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xf5307a74d1550739ef81c6488dc5c7a6a53e5ac2,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0xef2ae1b73f4d9ef1baf135d471b092c27258e71c,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x069a3f90b0129e22c5c4a4e10ed667ad2578ef40,416,2018-07-14T10:00:00+00:00,1000000000000060000000
0x0240539ec9ec47a9d0dd4c5bc37435093a3c19a2,416,2018-07-14T10:00:00+00:00,1000000000000060000000
